Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
100001,Support,59,70621,5,175,99,Yes
100002,Sales,47,30892,20,144,100,Yes
100003,Marketing,46,96733,1,168,98,Yes
100004,Support,34,98586,18,175,100,Yes
100005,IT,37,56142,15,184,100,Yes
100006,Marketing,38,65679,23,132,100,Yes
100007,Marketing,49,61615,10,120,100,Yes
100008,Support,40,67553,3,175,100,Yes
100009,Finance,47,99071,5,192,100,Yes
100010,IT,38,61002,24,180,100,Yes
100011,Support,24,90658,13,200,100,Yes
100012,IT,21,29852,8,138,100,Yes
100013,IT,21,25387,22,192,100,Yes
100014,Marketing,46,117295,21,168,100,Yes
100015,Sales,40,59994,2,140,84,Yes
100016,IT,43,53725,9,240,100,Yes
100017,Operations,30,92682,17,120,100,Yes
100018,Marketing,31,20560,18,207,100,Yes
100019,Finance,25,76565,13,161,100,Yes
100020,Sales,21,21312,1,126,56,No
100021,Operations,37,38205,12,138,100,Yes
100022,Operations,42,31595,20,192,100,Yes
100023,Finance,54,107566,20,250,100,Yes
100024,Sales,49,41329,21,207,100,Yes
100025,Marketing,24,88187,5,250,100,Yes
100026,HR,25,95542,8,168,100,Yes
100027,Sales,31,55645,15,198,100,Yes
100028,Finance,41,107502,3,180,100,Yes
100029,Operations,55,113382,6,140,79,No
100030,Marketing,32,107310,13,216,100,Yes
100031,Sales,46,89619,12,126,96,Yes
100032,HR,39,53513,19,210,100,Yes
100033,HR,27,28749,18,210,100,Yes
100034,IT,27,50783,24,140,100,Yes
100035,IT,46,80645,1,207,100,Yes
100036,Support,25,102861,7,160,100,Yes
100037,Finance,41,73175,12,120,97,Yes
100038,Sales,34,104216,10,140,100,Yes
100039,Sales,24,82709,12,207,100,Yes
100040,Support,43,37323,11,176,100,Yes
100041,Operations,40,70762,4,216,100,Yes
100042,Operations,35,108220,19,154,100,Yes
100043,Support,49,84222,6,176,100,Yes
100044,Operations,28,54493,9,160,100,Yes
100045,IT,39,78328,20,176,100,Yes
100046,Sales,59,32213,10,160,100,Yes
100047,Support,48,117367,5,180,100,Yes
100048,Sales,47,66930,13,192,100,Yes
100049,HR,24,47713,9,189,100,Yes
100050,IT,35,92723,2,160,82,Yes
